sku,description,detail_url,Price
1000752186,Essence 60-in x 22-in Seafoam Nylon Bath Rug,https://www.lowes.com/pd/Traditional-Essence-60-in-x-22-in-Seafoam-Nylon-Bath-Rug/1000752186,29.98
1000006012,InVent 1.5-Sone 110-CFM White Lighted Bathroom Fan ENERGY STAR,https://www.lowes.com/pd/Broan-InVent-1-5-Sone-110-CFM-White-Bathroom-Fan-ENERGY-STAR/1000006012,
5013816111,"Viribright 9 Watt BR30 LED Grow Light Bulb, 11 Umol/s",https://www.lowes.com/pd/Viribright-Lighting-Viribright-9-Watt-BR30-LED-Grow-Light-Bulb-11-Umol-s/5013816111,19.98
5013833365,Serendipity 24-in x 40-in Navy Nylon Bath Rug,https://www.lowes.com/pd/Garland/5013833365,34.98
5001935871,GE 18ET LED ET8 GROW GREENS 6CT - Bulk,https://www.lowes.com/pd/GE-GE-18ET-LED-ET8-GROW-GREENS-6CT-Bulk/5001935871,168.98
4747205,12-Pack Clear Single Shower Rings,https://www.lowes.com/pd/Project-Source-12-Pack-Clear-Single-Shower-Rings/4747205,
5013254659,One Size Fits All Plastic Paint Protective Shoe,https://www.lowes.com/pd/Trimaco/5013254659,
1003137936,3-Pack L Plastic Paint Protective,https://www.lowes.com/pd/Safe-Handler-3-Pack-L-Plastic-Paint-Protective-Wear/1003137936,80.98
5001945847,40-Pack Xl/2Xl Polypropylene Paint Protective Shoe,https://www.lowes.com/pd/Buffalo-Industries-XL-Waterproof-Shoe-Cover-40-Pair-Carton/5001945847,44.98
1001351882,6-Pack One Size Fits All Polypropylene Paint Protective Shoe,https://www.lowes.com/pd/Trimaco-6-Pack-One-size-fits-all-Polypropylene-Paint-Protective-Shoe/1001351882,
5001428825,Royal bath 40-in x 24-in Persian Blue Nylon Bath Rug,https://www.lowes.com/pd/Mohawk-Home-2-Ft-x-3-Ft-Royal-Bath-Blue/5001428825,
5013551467,22-in x 42-in Blue Microfiber Memory Foam Bath Mat,https://www.lowes.com/pd/Home-Dynamix/5013551467,22.48
5005510619,Luxury Chenille 60-in x 24-in Gray Polyester Bath Rug,https://www.lowes.com/pd/Subrtex-Luxury-Chenille-Super-Soft-Absorbent-Microfiber-Rectangle-Non-Slip-Bath-Rug-24-x60-Gray/5005510619,24.48
5001838903,Bone/Black Cotton Bath Towel Set (Hastings Home Bath Towels),https://www.lowes.com/pd/Hastings-Home-Luxury-Cotton-Towel-Set-2-Piece-Bath-Sheet-Set-Made-From-100-Zero-Twist-Cotton-Quick-Dry-Soft-and-Absorbent-By-Hastings-Home-Bone-Black/5001838903,36.98
5001428835,Royal bath 24-in x 21-in Navy Nylon Bath Rug,https://www.lowes.com/pd/Mohawk-Home-Contour-Royal-Bath-Navy/5001428835,35.48
5001426157,Pure perfection 34-in x 20-in Butter Cream Nylon Bath Rug,https://www.lowes.com/pd/Mohawk-Home-1-5-Ft-x-2-Ft-Pure-Butter-Cream/5001426157,35.48
5001426133,Pure perfection 34-in x 20-in Rose Nylon Bath Rug,https://www.lowes.com/pd/Mohawk-Home-1-5-Ft-x-2-Ft-Pure-Rose/5001426133,35.48
5013469753,30-in x 20-in Cloud Blue Cotton Bath Mat,https://www.lowes.com/pd/allen-roth/5013469753,
5005324307,58.44-in to 60-in Chrome Fixed Single Curve Shower Rod,https://www.lowes.com/pd/Moen-60-in-Chrome-Single-Curve-Fixed-Shower-Rod/5005324307,42.13
1001389476,70-in W x 70-in L Frosted Solid Mildew Resistant Eva/Peva Shower Liner,https://www.lowes.com/pd/Style-Selections-72-in-H-x-70-in-L-Eva-Peva-Frosted-Solid-Shower-Liner/1001389476,
1002973804,6-Piece Coral Cotton Bath Towel Set (organic vines),https://www.lowes.com/pd/Amrapur-Overseas-6-Piece-Yarn-Dyed-Towel-Set-Organic-Vines-Coral/1002973804,37.48
1003051512,6-Piece Peach Cotton Bath Towel Set (Embellished Border),https://www.lowes.com/pd/Amrapur-Overseas-Damask-Jacquard-Towels-with-Embellished-Border-6-Piece-Set-Peach/1003051512,38.48
5001952389,71-in W x 74-in L Frost Grey Solid Mildew Resistant Polyester Shower Curtain and Liner Set,https://www.lowes.com/pd/Hookless-Hookless-Fabric-Shower-Curtain-71-in-x-74-in-Frost-Grey-with-Antimicrobial-PEVA-Liner/5001952389,
1003086290,2-Piece Navy Cotton Bath Towel Set (AC 2pk),https://www.lowes.com/pd/Amrapur-Overseas-Air-Cloud-2-Pack-Oversized-Bath-Sheet-Navy/1003086290,38.33
5000890455,8-Piece Sand Turkish Cotton Hand Towel (Incanto),https://www.lowes.com/pd/Enchante-Home-Incanto-Turkish-Cotton-8-pcs-Hand-Towels-Sand/5000890455,38.48
5006033857,White Cotton Hand Towel,https://www.lowes.com/pd/allen-roth-White-Cotton-Hand-Towel/5006033857,3.98
5001422003,White/Black Cotton Bath Sheet,https://www.lowes.com/pd/Hastings-Home-Luxury-Cotton-Towel-Set-2-Piece-Bath-Sheet-Set-Made-From-100-Zero-Twist-Cotton-Quick-Dry-Soft-and-Absorbent-By-Hastings-Home-White-Black/5001422003,41.48
5005550637,Denim Cotton Hand Towel,https://www.lowes.com/pd/allen-roth-Denim-Cotton-Hand-Towel/5005550637,3.98
1001272636,Davenport 40-in x 24-in Aquamarine Cotton Bath Rug,https://www.lowes.com/pd/Chesapeake-Merchandising-Chesapeake-Davenport-2pc-Aquamarine-Bath-Rug-Set-44802-21-inx34-in-and-24-inx-40-in/1001272636,49
5001233093,24-in to 40-in Chrome Tension Single Straight Adjustable Shower Rod,https://www.lowes.com/pd/Utopia-Alley-Utopia-Alley-40-in-Aluminum-Tension-Rod-with-PVC-End-Cap-Chrome/5001233093,15.99
1001426266,Tolido Black Double Shower Hooks,https://www.lowes.com/pd/Style-Selections-Tolido-Black-Double-Shower-Hooks/1001426266,
5000890707,8-Piece White Turkish Cotton Wash Cloth (Ria),https://www.lowes.com/pd/Enchante-Home-Ria-Turkish-Cotton-8-pcs-Wash-Towels-White/5000890707,20.98
3702038,72-in Tension Mount Chrome Tension Single Straight Adjustable Shower Rod,https://www.lowes.com/pd/Moen-72-in-Chrome-Adjustable-Shower-Rod/3702038,30
5001839275,Chocolate Cotton Bath Towel Set (Hastings Home Bath Towels),https://www.lowes.com/pd/Hastings-Home-Luxury-Cotton-Towel-Set-Quick-Dry-Zero-Twist-and-Soft-6-Piece-Set-With-2-Bath-Towels-2-Hand-Towels-and-2-Washcloths-By-Hastings-Home-Chocolate/5001839275,42.48
5001751747,4-Piece Navy Blue Cotton Hand Towel (Flat Loop Towels),https://www.lowes.com/pd/Everplush-Everplush-Flat-Loop-4-Piece-Hand-Towel-Set-in-Navy-Blue/5001751747,23.48
5000890015,8-Piece Anthracite Turkish Cotton Wash Cloth (Anton),https://www.lowes.com/pd/Enchante-Home-Anton-Turkish-Cotton-8-pcs-Wash-Towels-Anthracite/5000890015,21.98
1001754474,Adjustable Green Polyester Enhanced Visibility (Reflective) Safety Vest,https://www.lowes.com/pd/GloWear-Adjustable-Green-Polyester-Reflective-Safety-Vest/1001754474,4.23
5000044979,Small Yellow Polyester High Visibility Enhanced Visibility (Reflective) Safety Vest,https://www.lowes.com/pd/Pioneer-High-Visibility-Mesh-Safety-Vest-Reflective-Tape-Yellow-Green-Unisex-S/5000044979,9.48
1001217960,Green Cotton Beach Towel,https://www.lowes.com/pd/DII-29-in-x-Cotton-Bath-Towel/1001217960,11.88
1001858776,Small/Medium Orange Polyester High Visibility Enhanced Visibility (Reflective) Safety Vest,https://www.lowes.com/pd/GloWear-Small-Medium-Orange-Polyester-High-Visibility-ANSI-Compliant-Reflective-Safety-Vest/1001858776,13.4
1001847922,Edenscape 51.5-in to 63-in Oil-Rubbed Bronze Fixed Single Curve Adjustable Shower Rod,https://www.lowes.com/pd/Kingston-Brass-Kingston-Brass-Oil-Rubbed-Bronze-Vintage-Adjustable-Hotel-Curved-Shower-Rod/1001847922,69.29
5005510559,Luxury Chenille 32-in x 20-in Celadon Polyester Bath Rug,https://www.lowes.com/pd/Subrtex-Luxury-Chenille-Super-Soft-Absorbent-Microfiber-Rectangle-Non-Slip-Bath-Rug-20-x32-Donella/5005510559,12.92
5001795809,Black Turkish Cotton Beach Towel (Luxe Herringbone- Rainbow Heart),https://www.lowes.com/pd/Linum-Home-Textiles-Linum-Home-Textiles-100-Turkish-Cotton-Luxe-Herringbone-Cheerful-Rainbow-Heart-Pestemal-Beach-Towel/5001795809,34.48
5001796113,Turquoise Turkish Cotton Beach Towel (Summer Fun- Rainbow Heart),https://www.lowes.com/pd/Linum-Home-Textiles-Linum-Home-Textiles-100-Turkish-Cotton-Summer-Fun-Cheerful-Rainbow-Heart-Pestemal-Beach-Towel/5001796113,34.48
