Brand_id,Brand_name,Date,Brand_url,Image_url
1,Book of the Month,2022 Q1-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/10783-book-of-the-month,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/10783/original/Account_Dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0
2,Rent the Runway,2022 Q1-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/10685-rent-the-runway,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/10685/original/Account_Dashboard_no_subs.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0
3,Macy’s,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9600-macys,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9600/original/macy-s-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0
4,KiwiCo,2022 Q1-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/10835-kiwico,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/10835/original/Account_Dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0
5,Birchbox,2022 Q1-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/10445-birchbox,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/10445/original/Account_Dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0
6,BarkBox,2022 Q1-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/10898-barkbox,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/10898/original/Account_Dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0
7,Amazon,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9590-amazon,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9590/original/amazon-.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0
8,Wayfair,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9595-wayfair,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9595/original/wayfair-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0
9,Dollar Shave Club,2022 Q1-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/10618-dollar-shave-club,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/10618/original/Account_Dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0
10,Sephora,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9558-sephora,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9558/original/sephora-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0
11,Farm To People,2022 Q1-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/10949-farm-to-people,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/10949/original/Account_Dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0
